param_name,min
module.module.base_model.model.module.model.layers.14.self_attn.q_proj.lora_B.default.weight,-0.08550330251455307
module.module.base_model.model.module.model.layers.14.self_attn.v_proj.lora_A.default.weight,-0.0018149338429793715
module.module.base_model.model.module.model.layers.14.self_attn.v_proj.lora_B.default.weight,-0.7288912534713745
module.module.base_model.model.module.model.layers.15.self_attn.q_proj.lora_A.default.weight,-0.0001400582550559193
module.module.base_model.model.module.model.layers.15.self_attn.q_proj.lora_B.default.weight,-0.5994468927383423
module.module.base_model.model.module.model.layers.15.self_attn.v_proj.lora_A.default.weight,-0.0005125064635649323
module.module.base_model.model.module.model.layers.15.self_attn.v_proj.lora_B.default.weight,-0.2775649428367615
module.module.base_model.model.module.model.layers.16.self_attn.q_proj.lora_A.default.weight,-8.806848200038075e-05
module.module.base_model.model.module.model.layers.16.self_attn.q_proj.lora_B.default.weight,-0.12088339030742645
module.module.base_model.model.module.model.layers.16.self_attn.v_proj.lora_A.default.weight,-0.0009770803153514862
module.module.base_model.model.module.model.layers.16.self_attn.v_proj.lora_B.default.weight,-0.7747073173522949
module.module.base_model.model.module.model.layers.17.self_attn.q_proj.lora_A.default.weight,-2.4062439479166642e-05
module.module.base_model.model.module.model.layers.17.self_attn.q_proj.lora_B.default.weight,-0.11021450161933899
module.module.base_model.model.module.model.layers.17.self_attn.v_proj.lora_A.default.weight,-0.0018877594266086817
module.module.base_model.model.module.model.layers.17.self_attn.v_proj.lora_B.default.weight,-0.38945043087005615
module.module.base_model.model.module.model.layers.18.self_attn.q_proj.lora_A.default.weight,-4.887424802291207e-05
module.module.base_model.model.module.model.layers.18.self_attn.q_proj.lora_B.default.weight,-0.21701860427856445
module.module.base_model.model.module.model.layers.18.self_attn.v_proj.lora_A.default.weight,-0.0003279650118201971
module.module.base_model.model.module.model.layers.18.self_attn.v_proj.lora_B.default.weight,-0.29367464780807495
module.module.base_model.model.module.model.layers.19.self_attn.q_proj.lora_A.default.weight,-2.9495591661543585e-05
module.module.base_model.model.module.model.layers.19.self_attn.q_proj.lora_B.default.weight,-0.1564132571220398
module.module.base_model.model.module.model.layers.19.self_attn.v_proj.lora_A.default.weight,-5.235440039541572e-05
module.module.base_model.model.module.model.layers.19.self_attn.v_proj.lora_B.default.weight,-0.06626008450984955
module.module.base_model.model.module.model.layers.20.self_attn.q_proj.lora_A.default.weight,-3.57489989255555e-05
module.module.base_model.model.module.model.layers.20.self_attn.q_proj.lora_B.default.weight,-0.08068108558654785
module.module.base_model.model.module.model.layers.20.self_attn.v_proj.lora_A.default.weight,-0.00013218715321272612
module.module.base_model.model.module.model.layers.20.self_attn.v_proj.lora_B.default.weight,-0.09154245257377625
module.module.base_model.model.module.model.layers.21.self_attn.q_proj.lora_A.default.weight,-2.9846389224985614e-05
module.module.base_model.model.module.model.layers.21.self_attn.q_proj.lora_B.default.weight,-0.13042721152305603
module.module.base_model.model.module.model.layers.21.self_attn.v_proj.lora_A.default.weight,-0.0008968947222456336
module.module.base_model.model.module.model.layers.21.self_attn.v_proj.lora_B.default.weight,-0.11217818409204483
module.module.base_model.model.module.model.layers.22.self_attn.q_proj.lora_A.default.weight,-1.8933582396130078e-05
module.module.base_model.model.module.model.layers.22.self_attn.q_proj.lora_B.default.weight,-0.05559460073709488
module.module.base_model.model.module.model.layers.22.self_attn.v_proj.lora_A.default.weight,-0.0005820427904836833
module.module.base_model.model.module.model.layers.22.self_attn.v_proj.lora_B.default.weight,-0.17332705855369568
module.module.base_model.model.module.model.layers.23.self_attn.q_proj.lora_A.default.weight,-7.458933396264911e-06
module.module.base_model.model.module.model.layers.23.self_attn.q_proj.lora_B.default.weight,-0.029008861631155014
module.module.base_model.model.module.model.layers.23.self_attn.v_proj.lora_A.default.weight,-0.0005189342191442847
module.module.base_model.model.module.model.layers.23.self_attn.v_proj.lora_B.default.weight,-0.05703675001859665
module.module.base_model.model.module.model.layers.24.self_attn.q_proj.lora_A.default.weight,-1.0680278137442656e-05
module.module.base_model.model.module.model.layers.24.self_attn.q_proj.lora_B.default.weight,-0.025375710800290108
module.module.base_model.model.module.model.layers.24.self_attn.v_proj.lora_A.default.weight,-0.0005214505945332348
module.module.base_model.model.module.model.layers.24.self_attn.v_proj.lora_B.default.weight,-0.11131007969379425
module.module.base_model.model.module.model.layers.25.self_attn.q_proj.lora_A.default.weight,-2.6922338292934e-05
module.module.base_model.model.module.model.layers.25.self_attn.q_proj.lora_B.default.weight,-0.0835939571261406
module.module.base_model.model.module.model.layers.25.self_attn.v_proj.lora_A.default.weight,-6.269853474805132e-05
module.module.base_model.model.module.model.layers.25.self_attn.v_proj.lora_B.default.weight,-0.19457852840423584
module.module.base_model.model.module.model.layers.26.self_attn.q_proj.lora_A.default.weight,-1.1084296602348331e-05
module.module.base_model.model.module.model.layers.26.self_attn.q_proj.lora_B.default.weight,-0.038626037538051605
module.module.base_model.model.module.model.layers.26.self_attn.v_proj.lora_A.default.weight,-0.0002886719594243914
module.module.base_model.model.module.model.layers.26.self_attn.v_proj.lora_B.default.weight,-0.11114133894443512
module.module.base_model.model.module.model.layers.27.self_attn.q_proj.lora_A.default.weight,-1.2584147953020874e-05
module.module.base_model.model.module.model.layers.27.self_attn.q_proj.lora_B.default.weight,-0.020398959517478943
module.module.base_model.model.module.model.layers.27.self_attn.v_proj.lora_A.default.weight,-4.945111140841618e-05
module.module.base_model.model.module.model.layers.27.self_attn.v_proj.lora_B.default.weight,-0.28353920578956604
module.module.base_model.model.module.model.layers.28.self_attn.q_proj.lora_A.default.weight,-2.2193002223502845e-05
module.module.base_model.model.module.model.layers.28.self_attn.q_proj.lora_B.default.weight,-0.07680355757474899
module.module.base_model.model.module.model.layers.28.self_attn.v_proj.lora_A.default.weight,-0.0003974983119405806
module.module.base_model.model.module.model.layers.28.self_attn.v_proj.lora_B.default.weight,-0.05458787456154823
module.module.base_model.model.module.model.layers.29.self_attn.q_proj.lora_A.default.weight,-2.9781675038975663e-05
module.module.base_model.model.module.model.layers.29.self_attn.q_proj.lora_B.default.weight,-0.06993158161640167
module.module.base_model.model.module.model.layers.29.self_attn.v_proj.lora_A.default.weight,-0.0002363874518778175
module.module.base_model.model.module.model.layers.29.self_attn.v_proj.lora_B.default.weight,-0.04231906309723854
module.module.base_model.model.module.model.layers.30.self_attn.q_proj.lora_A.default.weight,-1.1442531103966758e-05
module.module.base_model.model.module.model.layers.30.self_attn.q_proj.lora_B.default.weight,-0.11013631522655487
module.module.base_model.model.module.model.layers.30.self_attn.v_proj.lora_A.default.weight,-4.417839227244258e-05
module.module.base_model.model.module.model.layers.30.self_attn.v_proj.lora_B.default.weight,-0.061832964420318604
module.module.base_model.model.module.model.layers.31.self_attn.q_proj.lora_A.default.weight,-8.925635484047234e-06
module.module.base_model.model.module.model.layers.31.self_attn.q_proj.lora_B.default.weight,-0.038939543068408966
module.module.base_model.model.module.model.layers.31.self_attn.v_proj.lora_A.default.weight,-0.00018973025726154447
module.module.base_model.model.module.model.layers.31.self_attn.v_proj.lora_B.default.weight,-0.07832622528076172
